ke_id	ke_name	url	detection_method	method_description	reference	method_type
10	ACh Synaptic Accumulation (KE10)	https://aopwiki.org/events/10	Hestrin method	A colorimetric assay that measures esterase activity by hydrolysis of acetylcholine with hydroxylamine, forming hydroxamic acid that is quantified spectrophotometrically under alkaline conditions. It provides a simple, classical approach to estimate acetylcholine in biological samples.	Hestrin, 1949; Stone, 1955; Augustinsson, 1957	in vitro
10	ACh Synaptic Accumulation (KE10)	https://aopwiki.org/events/10	Microdialysis with HPLC-EC	Combines intracerebral microdialysis with high-performance liquid chromatography and electrochemical detection. Acetylcholine collected in dialysates is enzymatically converted and detected via oxidation on a platinum electrode, enabling nanomolar sensitivity in vivo.	Zapata, 2009	in vivo
10	ACh Synaptic Accumulation (KE10)	https://aopwiki.org/events/10	Liquid chromatography–mass spectrometry (LC-MS)	LC-MS separates acetylcholine from complex biological matrices and quantifies it with high specificity and sensitivity. Particularly suited for very low concentrations in microdialysis samples.	Nirogi, 2009	in vivo
10	ACh Synaptic Accumulation (KE10)	https://aopwiki.org/events/10	Pyrolysis-gas chromatography	Acetylcholine is thermally decomposed and products are analyzed by gas chromatography. Historically used as an alternative technique to detect acetylcholine in tissues.	Szilagyi, 1968	in vitro
12	AchE Inhibition (KE12)	https://aopwiki.org/events/12	Modified Ellman method	A spectrophotometric assay where acetylthiocholine is hydrolyzed by AChE to produce thiocholine, which reacts with DTNB to form a yellow chromophore measured at 412 nm. Modifications using selective inhibitors eliminate butyrylcholinesterase interference, ensuring specificity to AChE.	Ellman et al., 1961	in vitro
12	AchE Inhibition (KE12)	https://aopwiki.org/events/12	Radiometric assay	Uses radiolabeled acetylcholine substrates to monitor hydrolysis. Provides a sensitive alternative when spectrophotometric assays are limited, for example by carbamate exposure. Applicable to both in vitro and in vivo studies of AChE inhibition.	Johnson & Russell, 1975	in vitro
12	AchE Inhibition (KE12)	https://aopwiki.org/events/12	TOXCAST: NVS_ENZ_hAChE	High-throughput screening assay from the US EPA TOXCAST program that quantifies human AChE activity. Designed for large-scale testing of chemicals for inhibitory effects.	US EPA TOXCAST program	in vitro
12	AchE Inhibition (KE12)	https://aopwiki.org/events/12	Tissue cholinesterase activity assay	Direct measurement of cholinesterase activity in brain or red blood cells after exposure. Requires differentiation of AChE from butyrylcholinesterase, which is structurally similar but not functionally related to neurotransmission.	Lushington et al., 2006; Wilson, 2010; Wilson & Henderson, 2007	in vivo
18	Activation, AhR (KE18)	https://aopwiki.org/events/18	Reporter gene assay	Cells are engineered with reporter constructs under AhR-responsive elements. Ligand binding induces transcription of a reporter (luciferase, β-galactosidase), allowing sensitive detection of AhR activation.	Reenstra and Cattini, 1985; Garrison et al., 1996; Willett et al., 1998	in vitro
18	Activation, AhR (KE18)	https://aopwiki.org/events/18	AhR nuclear translocation assay	AhR activation can be tracked by its ligand-induced movement from cytoplasm to nucleus. Visualization is done by immunocytochemistry or GFP-tagged receptors, quantifying nuclear localization.	Ikuta et al., 1998	in vitro
18	Activation, AhR (KE18)	https://aopwiki.org/events/18	AhR/ARNT dimerization assay	After ligand binding, AhR dimerizes with ARNT. Co-immunoprecipitation or protein–protein interaction assays quantify this process, providing a mechanistic measure of activation.	Reenstra and Cattini, 1985; Sogawa et al., 1995	in vitro
18	Activation, AhR (KE18)	https://aopwiki.org/events/18	DNA binding assay (EMSA)	Electrophoretic mobility shift assays measure binding of AhR/ARNT to xenobiotic response elements (XREs). Formation of shifted DNA–protein complexes indicates activation and DNA binding capacity.	Denison et al., 1988; Fujisawa-Sehara et al., 1987	in vitro
18	Activation, AhR (KE18)	https://aopwiki.org/events/18	Chromatin immunoprecipitation (ChIP)	ChIP assays detect in vivo binding of AhR/ARNT complexes to promoter regions in chromatin. Crosslinked DNA–protein complexes are immunoprecipitated and quantified, providing evidence of receptor activation in intact cells.	Beischlag and Perdew, 2005	in vivo
18	Activation, AhR (KE18)	https://aopwiki.org/events/18	Gene expression profiling (CYP1A1 induction)	AhR activation induces expression of target genes such as CYP1A1 and CYP1B1. mRNA levels can be measured by qPCR, Northern blot, or RNA-seq, serving as functional biomarkers of pathway activation.	Whitlock, 1999; Ma, 2001	in vitro
18	Activation, AhR (KE18)	https://aopwiki.org/events/18	Enzyme activity assay (EROD)	The ethoxyresorufin-O-deethylase (EROD) assay measures CYP1A1 activity, a downstream marker of AhR activation. Fluorescent resorufin formation provides a sensitive proxy of pathway induction.	Whyte et al., 2000; Burke and Mayer, 1974	in vitro
18	Activation, AhR (KE18)	https://aopwiki.org/events/18	Molecular docking and homology modeling	In silico docking and receptor modeling predict interactions between ligands and the AhR ligand-binding domain. These approaches provide mechanistic insight and screening capability for potential activators.	Schnekenburger et al., 2009; Bisson et al., 2009	in silico
18	Activation, AhR (KE18)	https://aopwiki.org/events/18	QSAR models	Quantitative structure–activity relationship models use physicochemical descriptors of compounds to predict AhR activation. These computational tools support hazard identification and prioritization of chemicals.	Mansouri et al., 2016; Browne et al., 2017	in silico
151	Activation, Inflammatory cytokines, chemokines, cytoprotective gene pathways (KE151)	https://aopwiki.org/events/151	ELISA / Bio-Plex cytokine assays	Cytokine production is measured in supernatants or intracellular matrix using ELISA or Bio-Plex multiplex assays. These approaches quantify secreted or intracellular cytokines in simple or complex models, including 3D epithelial models like MucilAir™ and precision-cut lung slices (PCLS).	Remy et al., 2014; Huang et al., 2013; Lauenstein et al., 2014	in vitro
151	Activation, Inflammatory cytokines, chemokines, cytoprotective gene pathways (KE151)	https://aopwiki.org/events/151	Signal transduction immunoassays	Activation of innate immune response is assessed using commercial immunoassays targeting MAPK pathways (p38, JNK1/2, ERK1/2). These detect phosphorylation states indicative of pathway activation.	NA	in vitro
151	Activation, Inflammatory cytokines, chemokines, cytoprotective gene pathways (KE151)	https://aopwiki.org/events/151	ROS detection assays	Commercial assays measure reactive oxygen species generation as an indicator of chemical-induced endogenous danger signals (DAMPs). Increased ROS production serves as a marker of stress responses.	NA	in vitro
